Name,Formula,A,B,C,°C,kJ/mol,tn/°C
Acetone,C3H6O,14.3145,2756.22,228.06,−26—77,29.1,56.2
Acetic acid,C2H4O2,15.0717,3580.8,224.65,24—142,23.7,117.9
Acetonitrile*,C2H3N,14.895,3413.1,250.523,−27—81,30.19,81.6
Benzene,C6H6,13.7819,2726.81,217.572,6—104,30.72,80.0
iso-Butane,C4H10,13.8254,2181.79,248.87,−83—7,21.3,-11.9
n-Butane,C4H10,13.6608,2154.7,238.789,−73—19,22.44,-0.5
1-Butanol,C4H10O,15.3144,3212.43,182.739,37—138,43.29,117.6
2-Butanol*,C4H10O,15.1989,3026.03,186.5,25—120,40.75,99.5
iso-Butanol,C4H10O,14.6047,2740.95,166.67,30—128,41.82,107.8
tert-Butanol,C4H10O,14.8445,2658.29,177.65,10—101,39.07,82.3
Carbon tetrachloride,CCl4,14.0572,2914.23,232.148,−14—101,29.82,76.6
Chlorobenzene,C6H5Cl,13.8635,3174.78,211.7,29—159,35.19,131.7
1-Chlorobutane,C4H9Cl,13.7965,2723.73,218.265,−17—79,30.39,78.5
Chloroform,CHCl3,13.7324,2548.74,218.552,−23—84,29.24,61.1
Cyclohexane,C6H12,13.6568,2723.44,220.618,9—105,29.97,80.7
Cyclopentane,C5H10,13.9727,2653.9,234.51,−35—71,27.3,49.2
n-Decane,C10H22,13.9748,3442.76,193.858,65—203,38.75,174.1
Dichloromethane,CH2Cl2,13.9891,2463.93,223.24,−38—60,28.06,39.7
Diethyl ether,C4H10O,14.0735,2511.29,231.2,−43—55,26.52,34.4
"1,4-Dioxane",C4H8O2,15.0967,3579.78,240.337,20—105,34.16,101.3
n-Eicosane,C20H42,14.4575,4680.46,132.1,208—379,57.49,343.6
Ethanol,C2H6O,16.8958,3795.17,230.918,3—96,38.56,78.2
Ethylbenzene,C8H10,13.9726,3259.93,212.3,33—163,35.57,136.2
Ethylene glycol*,C2H6O2,15.7567,4187.46,178.65,100—222,50.73,197.3
n-Heptane,C7H16,13.8622,2910.26,216.432,4—123,31.77,98.4
n-Hexane,C6H14,13.8193,2696.04,224.317,−19—92,28.85,68.7
Methanol,CH4O,16.5785,3638.27,239.5,−11—83,35.21,64.7
Methyl acetate,C3H6O2,14.2456,2662.78,219.69,−23—78,30.32,56.9
Methyl ethyl ketone,C4H8O,14.1334,2838.24,218.69,−8—103,31.3,79.6
Nitromethane*,CH3NO2,14.7513,3331.7,227.6,56—146,33.99,101.2
n-Nonane,C9H20,13.9854,3311.19,202.694,46—178,36.91,150.8
iso-Octane,C8H18,13.6703,2896.31,220.767,2—125,30.79,99.2
n-Octane,C8H18,13.9346,3123.13,209.635,26—152,34.41,125.6
n-Pentane,C5H12,13.7667,2451.88,232.014,−45—58,25.79,36.0
Phenol,C6H6O,14.4387,3507.8,175.4,80—208,46.18,181.8
1-Propanol,C3H8O,16.1154,3483.67,205.807,20—116,41.44,97.2
2-Propanol,C3H8O,16.6796,3640.2,219.61,8—100,39.85,82.2
Toluene,C7H8,13.932,3056.96,217.625,13—136,33.18,110.6
Water,H2O,16.3872,3885.7,230.17,0—200,40.66,100.0
o-Xylene,C8H10,14.0415,3358.79,212.041,40—172,36.24,144.4
m-Xylene,C8H10,14.1387,3381.81,216.12,35—166,35.66,139.1
p-Xylene,C8H10,14.0579,3331.45,214.627,35—166,35.67,138.3
